"year","organisation","critical_industry","organisation_size","level_of_digital_intensity","sector","country","cyber_security_role","cyber_security_frameworks","education_and_awareness_policy","policy","prevention_detection_and_recovery","improper_network_segmentation","absence_of_encryption","detector","restructuring_after_attack","bribe_ransom_paid","free_identity_or_credit_theft_monitoring","additional_disclosure_of_information","number_of_users_affected","overall_nature_of_attack","attack_type","attacker","attack_vector","impact_on_data","aspect_of_confidentiality_integrity_availability_triad_affected","individual_s_name_s_leaked_exposed","address_es_leaked_exposed","other_personally_identifiable_information_pii_leaked_exposed","track_1_credit_card_details_leaked_exposed","track_2_credit_card_details_leaked_exposed","social_security_number_tax_number_leaked_exposed","subsequent_fraudulent_use_of_data","investigation","undertook_investigation","litigation_by_public","penalties_settlement_paid_or_actions_imposed","imposed_penalties_or_actions_on_organisation","fines_issued_by_government_or_relevant_body","settlement_paid"
2013,"Service Coordination Inc.","Yes","Medium","Low-Medium","Human health activities","USA","No","No","No","Yes","Low","NA","Yes","Organisation","NA","No","Yes","NA",9700,"NA","Unknown","External","NA","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","No","No","No","No","No"
2015,"Seton Family of Hospitals","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","NA","NA","Organisation","Yes","No","No","NA",39000,"NA","Unknown","External","NA","Low","Confidentiality","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
2007,"Seton Healthcare Network","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","NA","Yes","Organisation","Yes","No","Yes","NA",39000,"Type 2","Misuse of resources","External","Social engineering","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2013,"Seton McCarthy Clinic, Seton Healthcare Family","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","NA","Yes","Organisation","Yes","No","No","Yes",39000,"Type 3","Physical Theft","External","Physical device","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","No","No","No","No","No"
2018,"Shein","No","Large","Low-Medium","Textiles, wearing apparel and leather","USA","No","No","No","Yes","Medium","NA","NA","Organisation","Yes","No","No","No",39086762,"Type 1","Installed malware","External","NA","Low","Confidentiality","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
2010,"Silicon Valley Eyecare Optometry  Contact Lenses","Yes","Medium","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","NA","Yes","Organisation","Yes","No","No","Yes",40000,"Type 3","Physical Theft","External","Physical device","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","No","No","No","No","No"
2017,"Sinai Health System","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Low","Yes","Yes","Organisation","Yes","No","Yes","Yes",11350,"Type 2","Misuse of resources","External","Social engineering","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2018,"Singapore Health Services","Yes","Large","Low-Medium","Human health activities","Singapore","Yes","No","No","Yes","Low","Yes","Yes","Organisation","Yes","No","NA","Yes",1500000,"NA","Unknown","External","NA","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","No","Yes","Yes","Yes","No"
2019,"Singapore Ministry of Health - HIV","Yes","Large","Medium-High","Public administration and defence","Singapore","No","No","No","Yes","Low","No","Yes","NA","Yes","No","NA","Yes",14200,"Type 3","Physical Theft","Internal","Inappropriate use of privilege","Medium","Confidentiality","Yes","Yes","Yes","No","No","No","No","Yes","Yes","Yes","Yes","Yes","No","No"
2013,"SnapChat","Yes","Large","High","IT and other information services","Global","No","No","No","Yes","Medium","Yes","NA","Organisation","Yes","No","No","No",4600000,"Type 2","Misuse of resources","External","NA","Low","Confidentiality","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
2005,"Sonoma State University","No","Large","Low-Medium","Education","USA","No","No","No","NA","Low","Yes","Yes","Organisation","NA","No","No","Yes",61709,"NA","Unknown","External","Unknown network attack","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","No","No","No","No","No"
2011,"Sony","No","Large","Medium-High","Arts, entertainment and recreation","USA","Yes","No","No","Yes","Medium","NA","Yes","Organisation","Yes","No","No","NA",2.5e+07,"NA","Unknown","External","NA","High","Confidentiality","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes","No","No","Yes"
2011,"Sony","No","Large","Medium-High","Arts, entertainment and recreation","USA","Yes","No","No","Yes","Medium","NA","Yes","Organisation","Yes","No","No","NA",7.7e+07,"NA","Unknown","External","NA","High","Confidentiality","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","No","No","Yes"
2014,"Sony","No","Large","Medium-High","Arts, entertainment and recreation","Global","Yes","No","No","Yes","Low","Yes","Yes","Public","NA","No","No","No",47000,"Type 1","Installed malware","External","NA","Medium","Confidentiality","Yes","Yes","Yes","No","No","NA","No","Yes","Yes","Yes","Yes","No","Yes","Yes"
2012,"South Carolina Department of Revenue","Yes","Large","Medium-High","Public administration and defence","USA","No","No","No","Yes","Medium","NA","NA","Organisation","Yes","No","Yes","Yes",3600000,"Type 2","Misuse of resources","External","NA","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2016,"Southcentral Foundation","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","NA","NA","Organisation","Yes","No","No","Yes",14719,"Type 2","Misuse of resources","External","NA","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2016,"Southeast Eye Institute, P.A.","Yes","Unknown","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","NA","NA","Organisation","Yes","No","Yes","Yes",87314,"Type 2","Misuse of resources","External","Vendor vulnerability","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2017,"Southwest Community Health Center","Yes","Medium","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","No","NA","Organisation","Yes","No","No","Yes",5520,"Type 3","Physical Theft","External","Physical device","Low","Confidentiality","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
2010,"Sprint","No","Medium","Medium-High","Wholesale, retail trade and repair","USA","No","No","No","Yes","Low","No","No","Organisation","NA","No","NA","NA",8e+05,"Type 5","Misuse of resources","Internal","Inappropriate use of privilege","High","Confidentiality","Yes","No","Yes","No","No","No","Yes","Yes","Yes","No","No","No","No","No"
2011,"St Francis Broken Arrow","Yes","Unknown","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","No","Yes","Organisation","Yes","No","Yes","No",84000,"Type 3","Physical Theft","External","Physical device","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2014,"St Joseph Health System","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Low","Yes","Yes","Organisation","Yes","No","Yes","No",405000,"NA","Unknown","External","Unknown network attack","Low","Confidentiality","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
2016,"St. Lukes Cornwall Hospital","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","No","Yes","Organisation","Yes","No","No","No",29156,"Type 3","Physical Theft","External","Physical device","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2017,"St. Mark's Surgery Center","Yes","Unknown","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","NA","NA","Organisation","Yes","No","No","Yes",33877,"Type 1","Installed malware","External","NA","High","Availability","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
2013,"St. Mary's Bank","Yes","Medium","High","Finance and insurance","USA","No","No","No","Yes","Medium","NA","Yes","Organisation","Yes","No","Yes","Yes",115775,"Type 1","Installed malware","External","NA","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","No","No","No","No","No"
2016,"Stamford Podiatry Group .P.C","Yes","Small","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","NA","NA","Organisation","Yes","No","Yes","No",40000,"Type 2","Misuse of resources","External","Unknown network attack","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2008,"Stanford University","No","Large","Low-Medium","Education","USA","No","No","No","Yes","Medium","NA","NA","Organisation","Yes","No","No","Yes",62000,"Type 3","Physical Theft","External","Physical device","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2014,"Staples","No","Large","Medium-High","Wholesale, retail trade and repair","USA","Yes","No","No","Yes","Low","NA","Yes","Credit card/bank","NA","No","Yes","Yes",1200000,"Type 1","Installed malware","External","NA","High","Confidentiality","Yes","No","No","Yes","NA","No","No","No","No","No","No","No","No","No"
2008,"Starbucks","Yes","Large","Low","Food products, beverages and tobacco","USA","No","No","No","Yes","Low","No","Yes","Organisation","NA","No","Yes","NA",97000,"Type 3","Physical Theft","External","Physical device","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","Yes","No","Yes","Yes","No","No","Yes"
2008,"State Street Corp, Investors Financial Services","Yes","Large","High","Finance and insurance","USA","No","No","No","Yes","Low","NA","NA","Organisation","NA","No","NA","NA",45500,"Type 3","Physical Theft","External","Vendor vulnerability","Low","Confidentiality","Yes","NA","NA","NA","NA","NA","No","Yes","Yes","No","No","No","No","No"
2008,"Staten Island University Hospital","Yes","Medium","Low-Medium","Human health activities","USA","No","No","No","Yes","Low","No","Yes","Organisation","NA","No","Yes","NA",88000,"Type 3","Physical Theft","External","Physical device","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2011,"Steam","No","Large","Medium-High","Arts, entertainment and recreation","USA","No","No","No","Yes","Medium","NA","NA","Organisation","Yes","No","NA","NA",3.5e+07,"NA","Unknown","External","NA","Low","Confidentiality","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
2015,"Sterling BackCheck","Yes","Unknown","Low-Medium","Human health activities","Canada","No","No","No","Yes","Medium","No","Yes","Organisation","Yes","No","Yes","Yes",1e+05,"Type 3","Physical Theft","External","Physical device","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2011,"Stratfor","No","Medium","High","Scientific research and development","USA","No","No","No","Yes","Medium","Yes","Yes","Federal Agency","Yes","No","NA","NA",90000,"NA","Unknown","External","NA","High","Confidentiality","Yes","No","No","Yes","NA","No","No","No","No","No","No","No","No","No"
2011,"Subway","Yes","Large","Low","Accommodation and food service activities","USA","No","No","No","Yes","Medium","Yes","Yes","NA","Yes","No","NA","NA",80000,"Type 1","Installed malware","External","Unknown network attack","High","Confidentiality","Yes","No","No","Yes","NA","No","Yes","No","No","No","No","No","No","No"
2010,"Suffolk County National Bank","Yes","Unknown","High","Finance and insurance","USA","No","No","No","Yes","Medium","NA","NA","Organisation","Yes","No","Yes","No",8378,"NA","Unknown","External","NA","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2015,"Sunquest Information Systems","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Low","No","Yes","Organisation","No","No","No","No",31000,"Type 3","Physical Theft","External","Physical device","Low","Confidentiality","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
2016,"Susan M Hughes Center","Yes","Small","Low-Medium","Human health activities","USA","No","No","No","Yes","Low","Yes","Yes","Organisation","Yes","No","No","Yes",11400,"Type 1","Installed malware","External","NA","High","Availability","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2014,"Sutherland Healthcare Solutions, Inc.","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","No","Yes","Organisation","Yes","No","No","No",168500,"Type 3","Physical Theft","External","Physical device","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2011,"Sutter Medical Foundation","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Low","No","Yes","Organisation","No","No","No","Yes",943000,"Type 3","Physical Theft","External","Physical device","Medium","Confidentiality","Yes","Yes","Yes","No","No","No","No","Yes","No","Yes","Yes","No","No","Yes"
2018,"T-Mobile","Yes","Large","High","Telecommunications","USA","No","No","No","Yes","Low","Yes","Yes","Organisation","No","No","No","Yes",2e+06,"NA","Unknown","External","NA","Medium","Confidentiality","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No"
2015,"TalkTalk","Yes","Large","High","Telecommunications","USA","Yes","No","No","Yes","Low","NA","NA","Organisation","No","No","No","No",157000,"NA","Unknown","External","Unknown website/web application attack","High","Confidentiality","Yes","No","Yes","Yes","NA","No","No","No","No","No","No","No","No","No"
2017,"Tampa Bay Surgery Center","Yes","Small","Low-Medium","Human health activities","USA","No","No","No","Yes","Low","NA","NA","Organisation","NA","No","Yes","NA",26000,"NA","Unknown","External","NA","High","Confidentiality","Yes","No","Yes","No","No","Yes","Yes","No","No","No","No","No","No","No"
2013,"Target","No","Large","Medium-High","Wholesale, retail trade and repair","USA","Yes","No","No","Yes","High","Yes","Yes","Organisation","Yes","No","Yes","Yes",1.1e+08,"Type 1","Installed malware","External","Vendor vulnerability","High","Confidentiality","Yes","Yes","Yes","Yes","NA","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
2018,"Task rabbit inc","Yes","Medium","Low","Food products, beverages and tobacco","USA","No","No","No","Yes","Low","Yes","Yes","Public","Yes","No","No","No",3750000,"Type 2","Misuse of resources","External","NA","Low","Confidentiality","NA","NA","NA","NA","NA","NA","No","No","No","No","No","No","No","No"
2016,"Tax Slayer","No","Medium","High","Legal and accounting activities","USA","No","No","No","Yes","Low","NA","NA","Organisation","No","No","Yes","No",8800,"Type 2","Misuse of resources","External","Vendor vulnerability","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2016,"TD Ameritrade Holding Corp.","Yes","Large","High","Finance and insurance","USA","No","No","No","Yes","Low","NA","NA","Organisation","NA","No","NA","NA",6300000,"Type 2","Misuse of resources","External","NA","High","Confidentiality","Yes","Yes","Yes","No","No","Yes","Yes","Yes","No","Yes","No","No","No","No"
2018,"Texas voter records","Yes","Unknown","Medium-High","Public administration and defence","USA","No","No","No","Yes","Low","NA","Yes","Organisation","No","No","No","No",14800000,"NA","Unknown","External","Unknown network attack","Low","Confidentiality","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
2016,"The Ambulatory Surgery Center at St. Mary","Yes","Unknown","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","NA","NA","Organisation","Yes","No","No","No",13000,"Type 1","Installed malware","External","Unknown network attack","High","Availability","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2018,"The Centers for Medicare  Medicaid Services -","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","NA","NA","Organisation","Yes","No","No","No",75000,"NA","Unknown","External","Unknown network attack","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2014,"The Houstonian Hotel, Club  Spa","No","Medium","Low","Accommodation and food service activities","USA","No","No","No","Yes","Low","Yes","Yes","Organisation","Yes","No","No","No",10000,"Type 1","Installed malware","External","NA","High","Confidentiality","Yes","Yes","Yes","Yes","NA","No","No","Yes","Yes","No","No","No","No","No"
2018,"The May Eye Care Center","Yes","Small","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","Yes","No","Organisation","Yes","No","No","Yes",30000,"Type 1","Installed malware","External","Unknown network attack","High","Availability","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2017,"The Medical College of Wisconsin, Inc.","No","Large","Low-Medium","Education","USA","No","No","No","Yes","Low","NA","NA","Organisation","No","No","Yes","Yes",9500,"Type 2","Misuse of resources","External","Unknown network attack","Low","Confidentiality","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
2007,"The Nature Conservancy","No","Large","Low-Medium","Residential care and social work activities","USA","No","No","No","NA","Low","NA","NA","Organisation","NA","No","Yes","NA",14000,"NA","Unknown","External","NA","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2013,"The University of Texas MD Anderson Cancer Center","Yes","Unknown","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","No","Yes","Organisation","Yes","No","Yes","Yes",34883,"Type 3","Physical Theft","External","Physical device","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","Yes","Yes","No","Yes","Yes","Yes","No"
2015,"The Urban Institute","No","Unknown","High","Scientific research and development","USA","No","No","No","Yes","Medium","NA","NA","Organisation","Yes","No","No","No",7e+05,"NA","Unknown","External","NA","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2018,"TicketFly","No","Medium","Medium-High","Arts, entertainment and recreation","USA","No","No","No","Yes","Medium","NA","NA","Organisation","Yes","No","No","Yes",2.7e+07,"NA","Unknown","External","Unknown network attack","Low","Confidentiality","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
2018,"TicketMaster","No","Large","Medium-High","Arts, entertainment and recreation","USA","No","Yes","No","Yes","Low","NA","Yes","Credit card/bank","NA","No","Yes","Yes",11540000,"Type 1","Installed malware","External","Vendor vulnerability","High","Confidentiality","Yes","No","No","Yes","NA","No","Yes","Yes","No","Yes","No","No","No","No"
2016,"Time Warner Cable","Yes","Unknown","High","Telecommunications","USA","No","No","No","Yes","Low","NA","NA","Federal Agency","Yes","No","No","No",320000,"Type 2","Unknown","External","Social engineering","Low","Confidentiality","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
2006,"TJX Companies Inc","No","Large","Medium-High","Wholesale, retail trade and repair","USA","Yes","No","No","Yes","Low","Yes","Yes","Organisation","NA","No","Yes","Yes",9.4e+07,"Type 1","Installed malware","External","Unknown network attack","High","Confidentiality","Yes","No","No","Yes","NA","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes"
2012,"Towards Employment","No","Unknown","High","Administrative and support service","USA","No","No","No","Yes","Medium","No","Yes","Organisation","Yes","No","Yes","Yes",26000,"Type 3","Physical Theft","External","Physical device","High","Confidentiality","Yes","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No"
2018,"Toyota industries north America inc","Yes","Large","Medium-High","Machine equipment","USA","No","No","No","Yes","Medium","Yes","NA","Organisation","Yes","No","Yes","Yes",19000,"Type 2","Misuse of resources","External","NA","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2005,"Tufts University","No","Large","Low-Medium","Education","USA","No","No","No","Yes","Low","Yes","Yes","Organisation","NA","No","No","Yes",106000,"Type 2","Unknown","External","Vendor vulnerability","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","No","No","No","No","No"
2016,"Turkey Government","Yes","Unknown","Medium-High","Public administration and defence","Turkey","No","No","No","Yes","Low","NA","Yes","Organisation","No","No","No","No",49611709,"Type 2","Misuse of resources","External","Unknown network attack","High","Confidentiality","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","No","No","No","No"
2013,"Twitter","Yes","Large","High","IT and other information services","Global","Yes","No","No","Yes","Medium","Yes","NA","Organisation","Yes","No","No","Yes",250000,"Type 2","Misuse of resources","External","Unknown network attack","Low","Confidentiality","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
2005,"U.S. Air Force","Yes","Large","Medium-High","Public administration and defence","USA","Yes","No","No","Yes","Low","Yes","Yes","Organisation","Yes","No","NA","Yes",33000,"Type 2","Unknown","External","Social engineering","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","No","No","No","No","No"
2006,"U.S. Department of Agriculture","Yes","Large","Medium-High","Public administration and defence","USA","No","No","No","Yes","Low","Yes","Yes","Organisation","Yes","No","No","No",26000,"NA","Unknown","External","Unknown network attack","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","No","No","No","No","No"
2013,"U.S. Department of Energy","Yes","Large","Medium-High","Public administration and defence","USA","Yes","No","No","Yes","Medium","NA","NA","Organisation","Yes","No","No","No",104000,"NA","Unknown","External","Unknown network attack","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2005,"U.S. Department of Veterans Affairs","Yes","Large","Medium-High","Public administration and defence","USA","No","No","No","Yes","Medium","No","Yes","Organisation","Yes","No","NA","No",26500000,"Type 3","Physical Theft","External","Physical device","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","No","No","No","No","No"
2016,"Uber","Yes","Large","Low","Transportation storage","USA","No","No","No","Yes","Medium","NA","NA","Organisation","Yes","Yes","Yes","Yes",57600000,"Type 2","Unknown","External","Insufficient authentication validation","Medium","Confidentiality","Yes","Yes","Yes","No","No","NA","No","Yes","Yes","No","Yes","Yes","Yes","No"
2013,"Ubuntu","Yes","Unknown","High","IT and other information services","Global","No","No","No","Yes","Low","Yes","Yes","Organisation","Yes","No","No","No",1800000,"Type 4","Web compromise","External","Insufficient input validation","Low","Confidentiality","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No"
2014,"Ullico Inc.","No","Large","High","Finance and insurance","USA","No","No","No","Yes","Low","No","Yes","Organisation","No","No","Yes","Yes",46771,"Type 3","Physical Theft","External","Physical device","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2017,"UNC Health Care System","Yes","Large","Low-Medium","Human health activities","USA","Yes","No","No","Yes","Medium","No","No","Organisation","Yes","No","Yes","No",24000,"Type 3","Physical Theft","External","Physical device","Low","Confidentiality","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
2019,"Union Labor Life Insurance Company","No","Large","High","Finance and insurance","USA","No","No","No","Yes","Medium","NA","NA","Organisation","Yes","No","Yes","No",87400,"Type 2","Unknown","External","Social engineering","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2013,"United HomeCare Services, Inc.","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","No","Yes","Organisation","Yes","No","Yes","No",13617,"Type 3","Physical Theft","External","Physical device","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","Yes","Yes","No","No","No","No","No"
2018,"UnityPoint Health","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","No","No","Organisation","Yes","No","No","No",1400000,"Type 2","Misuse of resources","External","Social engineering","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","Yes","No","No","No","No"
2017,"Universal Care","Yes","Unknown","Low-Medium","Human health activities","USA","Yes","No","No","Yes","Medium","NA","NA","Organisation","Yes","No","Yes","No",14000,"Type 2","Misuse of resources","External","Vendor vulnerability","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","No","No","No","No","No"
2015,"University California, Berkeley","No","Large","Low-Medium","Education","USA","Yes","No","No","Yes","Medium","NA","NA","Organisation","Yes","No","Yes","Yes",80000,"NA","Unknown","External","Unknown network attack","Low","Confidentiality","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
2005,"University of California","No","Large","Low-Medium","Education","USA","No","No","No","Yes","Low","Yes","Yes","Organisation","NA","No","No","Yes",8e+05,"Type 2","Unknown","External","Insufficient input validation","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2006,"University of California at Los Angeles (UCLA)","No","Large","Low-Medium","Education","USA","Yes","No","No","Yes","Low","No","No","Organisation","NA","No","No","No",8e+05,"Type 2","Misuse of resources","External","Insufficient input validation","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2017,"University of California Davis Health","Yes","Large","Low-Medium","Human health activities","USA","Yes","No","No","Yes","Medium","No","No","Organisation","Yes","No","Yes","No",15000,"Type 2","Misuse of resources","External","Social engineering","High","Confidentiality","Yes","Yes","Yes","No","No","Yes","Yes","No","No","No","No","No","No","No"
2014,"University of California San Francisco","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","No","Yes","Organisation","Yes","No","Yes","No",9986,"Type 3","Physical Theft","External","Physical device","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2013,"University of California San Francisco Medical Center (UCSF)","Yes","Large","Low-Medium","Human health activities","USA","No","No","No","Yes","Medium","No","Yes","Organisation","Yes","No","Yes","Yes",8294,"Type 3","Physical Theft","External","Physical device","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2009,"University of California, Berkeley","No","Large","Low-Medium","Education","USA","Yes","No","No","Yes","Low","NA","NA","Organisation","No","No","No","Yes",160000,"Type 4","Web compromise","External","Insufficient input validation","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","No","No","No","No","No"
2005,"University of California, Berkeley","No","Large","Low-Medium","Education","USA","No","No","No","Yes","Medium","No","Yes","Organisation","Yes","No","NA","Yes",98000,"Type 3","Physical Theft","External","Physical device","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","No","No","No","No","No"
2015,"University of California, Riverside Graduate Division offices","No","Large","Low-Medium","Education","USA","No","No","No","Yes","Low","No","NA","Organisation","No","No","Yes","No",8000,"Type 3","Physical Theft","External","Physical device","Low","Confidentiality","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
2016,"University of Central Florida","No","Large","Low-Medium","Education","USA","No","No","No","Yes","Low","NA","NA","Organisation","No","No","No","Yes",63000,"NA","Unknown","External","NA","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2005,"University of Colorado, Boulder","No","Large","Low-Medium","Education","USA","Yes","No","No","Yes","Low","Yes","Yes","Organisation","Yes","No","NA","Yes",49000,"NA","Unknown","External","Unknown network attack","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2005,"University of Connecticut","No","Large","Low-Medium","Education","USA","No","No","No","Yes","Low","Yes","Yes","Organisation","No","No","No","No",72000,"Type 1","Installed malware","External","Unknown device attack","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2010,"University of Connecticut West Hartford","No","Large","Low-Medium","Education","USA","No","No","No","Yes","Medium","No","No","Organisation","Yes","No","Yes","No",10174,"Type 3","Physical Theft","External","Physical device","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2013,"University of Delaware","No","Large","Low-Medium","Education","USA","No","No","No","Yes","Low","Yes","Yes","Organisation","Yes","No","Yes","Yes",72000,"Type 4","Web compromise","External","Insufficient input validation","Medium","Confidentiality","Yes","Yes","Yes","No","No","No","No","Yes","Yes","No","No","No","No","No"
2009,"University of Florida","No","Large","Low-Medium","Education","USA","No","No","No","Yes","Low","NA","NA","Organisation","NA","No","NA","NA",97000,"NA","Unknown","External","Unknown network attack","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2012,"University of Georgia (UGA)","No","Large","Low-Medium","Education","USA","No","No","No","Yes","Medium","No","No","Organisation","Yes","No","Yes","Yes",8500,"Type 2","Misuse of resources","External","Insufficient authentication validation","Medium","Confidentiality","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
2014,"University of Maryland","No","Large","Low-Medium","Education","USA","No","No","No","Yes","Medium","NA","NA","Organisation","Yes","No","Yes","Yes",309079,"NA","Unknown","External","NA","Medium","Confidentiality","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
